assembly_accession,species,strain,assembly_level,assembly_method,bioproject,biosample,genome_size,gc_content,contig_count,n50,sequencing_tech,genome_type,host,isolation_source,country,collection_date,has_host,has_source,has_country,host_clean,source_clean,country_clean,species_epithet,host_bs,source_bs,country_bs,host_final,host_source,source_final,source_source,country_final,country_source,species_final
GCF_029723675.1,Bifidobacterium bifidum,LH_1013,Contig,SPAdes v. 3.11,PRJNA796283,SAMN24838602,2224038.0,63.0,30.0,239429.0,,isolate,Homo sapiens,fecal sample,United Kingdom,,True,True,True,homo sapiens,fecal sample,United Kingdom,bifidum,homo sapiens,fecal sample,united kingdom,homo sapiens,biosample,human_gut,biosample,united kingdom,biosample,Bifidobacterium bifidum
GCF_029723695.1,Bifidobacterium bifidum,LH_986,Contig,SPAdes v. 3.11,PRJNA796283,SAMN24838598,2225294.0,62.5,35.0,237240.0,,isolate,Homo sapiens,fecal sample,United Kingdom,,True,True,True,homo sapiens,fecal sample,United Kingdom,bifidum,homo sapiens,fecal sample,united kingdom,homo sapiens,biosample,human_gut,biosample,united kingdom,biosample,Bifidobacterium bifidum
GCF_030218415.1,Bifidobacterium bifidum,UMB0776B,Contig,SPAdes v. v3.14.1,PRJNA970254,SAMN34996462,2259858.0,62.5,143.0,338749.0,,isolate,Homo sapiens,,"USA: Maywood, IL",,True,False,True,homo sapiens,,"USA: Maywood, IL",bifidum,homo sapiens,urine,"usa: maywood, il",homo sapiens,biosample,urogenital,biosample,usa,biosample,Bifidobacterium bifidum
GCF_033959405.1,Bifidobacterium bifidum,BB11,Scaffold,SPAdes v. 3.13.0,PRJNA1041299,SAMN38280574,2218127.0,62.5,18.0,310856.0,,isolate,Bos taurus,Rumen fluid,South Africa,,True,True,True,bos taurus,rumen fluid,South Africa,bifidum,bos taurus,rumen fluid,south africa,bos taurus,biosample,other,biosample,south africa,biosample,Bifidobacterium bifidum
GCF_034427835.1,Bifidobacterium bifidum,CCRC11847,Scaffold,SPAdes v. 3.13.0,PRJNA1041299,SAMN38289445,2218127.0,62.5,18.0,310856.0,,isolate,Bos taurus,Rumen fluid,South Africa,,True,True,True,bos taurus,rumen fluid,South Africa,bifidum,bos taurus,rumen fluid,south africa,bos taurus,biosample,other,biosample,south africa,biosample,Bifidobacterium bifidum
GCF_039031575.1,Bifidobacterium bifidum,1001216st1_G12_RTP31141_220114,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN40657050,2253549.0,62.5,39.0,113663.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039031595.1,Bifidobacterium bifidum,1001216st1_A9_RTP31141_220114,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN40657048,2242153.0,62.5,38.0,165250.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039031615.1,Bifidobacterium bifidum,1001216st1_E8_RTP31141_220114,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN40657049,2218954.0,63.0,26.0,142237.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039063425.1,Bifidobacterium bifidum,2227st1_E10_2227SCRN_220401,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41062854,2136478.0,62.5,24.0,267643.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039063545.1,Bifidobacterium bifidum,2227st1_A6_2227SCRN_220401,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41062853,2138112.0,62.5,33.0,99409.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039612605.1,Bifidobacterium bifidum,NB42,Contig,SPAdes v. 3.15.5,PRJNA1102118,SAMN41013440,2260972.0,62.5,21.0,189250.0,,isolate,Homo sapiens,,Thailand:Bangkok,,True,False,True,homo sapiens,,Thailand:Bangkok,bifidum,homo sapiens,missing,thailand:bangkok,homo sapiens,biosample,other,none,thailand,biosample,Bifidobacterium bifidum
GCF_039733705.1,Bifidobacterium bifidum,RTP21428st1_G3_RTP21428_210409,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371887,2193853.0,62.5,117.0,33668.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039733725.1,Bifidobacterium bifidum,RTP21428st1_B4_RTP21428_210409,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371884,2193832.0,62.5,77.0,45883.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039734165.1,Bifidobacterium bifidum,2226st1_H4_2226SCRN_200925,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376098,2207915.0,63.0,24.0,209517.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039754375.1,Bifidobacterium bifidum,RTP21428st1_F6_RTP21428_210409,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371886,2191491.0,62.5,91.0,49345.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039754415.1,Bifidobacterium bifidum,RTP21428st1_H8_RTP21428_210409,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371888,2194040.0,62.5,49.0,104875.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039754475.1,Bifidobacterium bifidum,RTP21428st1_D1_RTP21428_210409,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371885,2194132.0,62.5,93.0,53812.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039754555.1,Bifidobacterium bifidum,RTP21428st1_B1_RTP21428_210409,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371883,2192519.0,62.5,77.0,51190.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039759635.1,Bifidobacterium bifidum,2226st1_B2_2226SCRN_200925,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376097,2207629.0,63.0,26.0,185933.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039759655.1,Bifidobacterium bifidum,D52st1_E7_D52t1_170925,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376099,2165573.0,63.0,280.0,12617.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039759675.1,Bifidobacterium bifidum,1001271st1_D3_1001271B_151109,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376096,2258328.0,63.0,75.0,51125.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039759695.1,Bifidobacterium bifidum,1001271st1_B3_1001271B_151109,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376095,2256832.0,63.0,29.0,186671.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_039912995.1,Bifidobacterium bifidum,RTP21222st1_H10_RTP21222_200807,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321412,2256500.0,62.5,101.0,36859.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913015.1,Bifidobacterium bifidum,RTP31036st1_A12_RTP31036_200814,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321415,2143004.0,63.0,31.0,104816.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913035.1,Bifidobacterium bifidum,RTP31036st1_G6_RTP31036_200814,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321416,2147299.0,63.0,41.0,91985.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913055.1,Bifidobacterium bifidum,RTP21222st1_F7_RTP21222_200807,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321411,2258203.0,62.5,107.0,42391.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913075.1,Bifidobacterium bifidum,RTP21222st1_F4_RTP21222_200807,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321410,2251643.0,62.5,99.0,34206.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913095.1,Bifidobacterium bifidum,RTP21222st1_D12_RTP21222_200807,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321409,2246138.0,62.5,103.0,36868.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913115.1,Bifidobacterium bifidum,RTP21221st1_H7_RTP21221_200709,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321408,2242379.0,62.5,66.0,63515.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913135.1,Bifidobacterium bifidum,RTP21221st1_H4_RTP21221_200709,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321407,2243811.0,62.5,34.0,170800.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913155.1,Bifidobacterium bifidum,F6_hBSD2780061687b_210117,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321403,2168694.0,62.5,17.0,309687.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913175.1,Bifidobacterium bifidum,RTP21221st1_A9_RTP21221_200709,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321405,2229646.0,62.5,60.0,66679.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913195.1,Bifidobacterium bifidum,H3_hBSD2780061687_210209,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321393,2175572.0,62.5,14.0,452523.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913215.1,Bifidobacterium bifidum,G9_hBSD2780061687_210209,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321392,2168019.0,62.5,51.0,86826.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913235.1,Bifidobacterium bifidum,B7_hBSD2780061687b_210117,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321398,2166264.0,62.5,15.0,265859.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913255.1,Bifidobacterium bifidum,F11_hBSD2780061687_210209,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321390,2172379.0,62.5,82.0,48997.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913275.1,Bifidobacterium bifidum,F12_hBSD2780061687_210209,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321391,2173774.0,62.5,19.0,227129.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913295.1,Bifidobacterium bifidum,D8_hBSD2780061687_210209,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321385,2170448.0,62.5,100.0,43374.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913315.1,Bifidobacterium bifidum,E5_hBSD2780061687_210209,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321388,2165720.0,62.5,117.0,32345.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913335.1,Bifidobacterium bifidum,E4_hBSD2780061687_210209,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321387,2177348.0,62.5,31.0,116423.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913355.1,Bifidobacterium bifidum,2226st1_G9_2226SCRN_200925,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321354,2209507.0,63.0,39.0,144427.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913365.1,Bifidobacterium bifidum,C1_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321374,2254681.0,62.5,23.0,415482.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_039913395.1,Bifidobacterium bifidum,1025st1_C5_1025SCRN_200924,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321349,2161473.0,63.0,27.0,158951.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_040094955.1,Bifidobacterium bifidum,CLA-AA-H198,Contig,SPAdes v. 3.15.5,PRJNA996881,SAMN40631356,2182765.0,63.0,27.0,167222.0,,isolate,Homo sapiens,,Germany:Aachen,,True,False,True,homo sapiens,,Germany:Aachen,bifidum,homo sapiens,fecal material [envo:00002003],germany:aachen,homo sapiens,biosample,human_gut,biosample,germany,biosample,Bifidobacterium bifidum
GCF_040150955.1,Bifidobacterium bifidum,LH-CAM-42,Contig,Unicycler v. 0.4.9,PRJNA1091569,SAMN40597876,2275644.0,62.5,33.0,129542.0,,isolate,Homo sapiens,fecal sample,Cameroon,,True,True,True,homo sapiens,fecal sample,Cameroon,bifidum,homo sapiens,fecal sample,cameroon,homo sapiens,biosample,human_gut,biosample,cameroon,biosample,Bifidobacterium bifidum
GCF_040227515.1,Bifidobacterium bifidum,1001216st1_E11_RTP31139_211217,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN40964755,2220901.0,63.0,45.0,68794.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040227535.1,Bifidobacterium bifidum,1001216st1_B4_RTP31139_211217,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN40964753,2222596.0,62.5,35.0,129704.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040227545.1,Bifidobacterium bifidum,1001216st1_C12_RTP31139_211217,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN40964754,2221101.0,62.5,32.0,123506.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040227575.1,Bifidobacterium bifidum,1001216st1_F9_RTP31139_211217,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN40964756,2219989.0,63.0,44.0,94023.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040911385.1,Bifidobacterium bifidum,RTP21359st1_H2_RTP21359_211015,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41007692,2221652.0,62.5,38.0,100237.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040911405.1,Bifidobacterium bifidum,RTP21359st1_C9_RTP21359_211015,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41007691,2228131.0,62.5,36.0,135870.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040911425.1,Bifidobacterium bifidum,RTP21357st1_E11_RTP21357_210408,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41007690,2162574.0,62.5,97.0,34057.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040911445.1,Bifidobacterium bifidum,RTP21357st1_A7_RTP21361_211029,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41007689,2197826.0,62.5,81.0,49886.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040911525.1,Bifidobacterium bifidum,RTP21357st1_A1_RTP21361_211029,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41007688,2173812.0,62.5,77.0,48843.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040917345.1,Bifidobacterium bifidum,RTP21281st1_D7_RTP21281_210402,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41018536,2292095.0,62.5,62.0,68106.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040917365.1,Bifidobacterium bifidum,RTP21281st1_A7_RTP21281_210402,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41018535,2289445.0,62.5,60.0,51061.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040917385.1,Bifidobacterium bifidum,RTP21204st1_F12_RTP21204_210225,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41018532,2261317.0,63.0,67.0,51102.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040917405.1,Bifidobacterium bifidum,RTP21276st1_H8_RTP21276_210326,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41018534,2207437.0,62.5,87.0,37315.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040917425.1,Bifidobacterium bifidum,RTP21276st1_D9_RTP21276_210326,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41018533,2205540.0,62.5,112.0,33964.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040917445.1,Bifidobacterium bifidum,RTP21102st1_H7_RTP21102_210122,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41018531,2345311.0,63.0,41.0,136179.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040917465.1,Bifidobacterium bifidum,RTP21102st1_C8_RTP21102_210122,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41018529,2388633.0,62.5,20.0,324657.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040917485.1,Bifidobacterium bifidum,RTP21102st1_E10_RTP21102_210122,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41018530,2386774.0,63.0,21.0,191289.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_040921645.1,Bifidobacterium bifidum,RTP31004st1_C11_RTP31004_210507,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41030593,2264231.0,62.5,113.0,30464.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,bifidum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
